medicineId,name,manufacturer,stock,expiryDate,daysUntilExpiry,bucket
6a6c993a227640b00f1063aa,Acegrow 3D Tablet,Foregen Healthcare Ltd,95,2026-10-29 19:08:29.503000+00:00,89,Within 90 Days
6a6c993a227640b00f106372,Amaryl 3mg Tablet,Sanofi India  Ltd,43,2026-10-29 17:06:25.652000+00:00,89,Within 90 Days
6a6c993a227640b00f1065e7,Azcal 1250mg/250IU Tablet,Bioman Pharmaceuticals,128,2026-10-30 18:41:46.301000+00:00,90,Within 90 Days
6a6c993b227640b00f1066c4,Canesten Vaginal Cream,Bayer Pharmaceuticals Pvt Ltd,46,2026-10-30 20:58:34.356000+00:00,90,Within 90 Days
6a6c993a227640b00f106374,Arbitel-AM Tablet,Micro Labs Ltd,107,2026-10-30 10:05:12.456000+00:00,90,Within 90 Days
6a6c993b227640b00f10674a,Zincshot Injection,Fusion Healthcare Pvt Ltd,8,2026-10-30 10:57:47.414000+00:00,90,Within 90 Days
6a6c993a227640b00f106570,Albuvit-Fe Tablet,Cellic Healthcare Pvt Ltd,100,2026-11-01 05:10:54.270000+00:00,91,Beyond 90 Days
6a6c993a227640b00f106631,Asiclok 150mg Tablet,Anista Healthcare,79,2026-11-01 00:44:38.774000+00:00,91,Beyond 90 Days
6a6c993b227640b00f106708,Euthyrox 12.5 Tablet,Merck Ltd,124,2026-10-31 14:33:02.188000+00:00,91,Beyond 90 Days
6a6c993a227640b00f1063cb,Azulix 4 MF Forte Tablet PR,Torrent Pharmaceuticals Ltd,116,2026-11-02 02:58:54.994000+00:00,92,Beyond 90 Days
6a6c993b227640b00f10672c,IZinc Oral Suspension,Asterism Pharmaceuticals Pvt  Ltd,137,2026-11-01 06:57:40.095000+00:00,92,Beyond 90 Days
6a6c993a227640b00f106395,Azulix 1 Tablet,Torrent Pharmaceuticals Ltd,48,2026-11-03 03:46:37.476000+00:00,93,Beyond 90 Days
6a6c993a227640b00f106506,Azirab 20mg Tablet,Astraazin Pharmaceuticals Private Limited,9,2026-11-02 09:47:47.274000+00:00,93,Beyond 90 Days
6a6c993a227640b00f1065d5,Amotic Tablet,Signature Phytochemical Industries,39,2026-11-04 03:37:23.846000+00:00,94,Beyond 90 Days
6a6c993a227640b00f1065a6,Areflux-IT 20mg/150mg Capsule,Aegis Prescriptions Pvt Ltd,124,2026-11-03 14:35:32.769000+00:00,94,Beyond 90 Days
6a6c993b227640b00f1066f7,Eglucent Mix 25 100IU/ml Suspension for Injection,Lupin Ltd,53,2026-11-03 09:12:38.060000+00:00,94,Beyond 90 Days
6a6c993a227640b00f106493,Auriase 5mg Tablet,Surya Pharmaceutical Ltd,115,2026-11-03 20:20:19.968000+00:00,94,Beyond 90 Days
6a6c993a227640b00f106480,Afineday Tablet,Indchemie Health Specialities Pvt Ltd,99,2026-11-04 00:59:22.576000+00:00,94,Beyond 90 Days
6a6c993a227640b00f10643f,Alrgee M 10mg/120mg Tablet,Morepen Laboratories Ltd,5,2026-11-04 06:38:23.184000+00:00,95,Beyond 90 Days
6a6c993a227640b00f106535,Anziolet 75mg Tablet,Ergos Life Sciences,89,2026-11-05 00:05:24.711000+00:00,95,Beyond 90 Days
6a6c993a227640b00f106553,Astesol-D3 60K Chewable Tablet,Asterism Pharmaceuticals Pvt  Ltd,28,2026-11-05 05:48:15.071000+00:00,96,Beyond 90 Days
6a6c993a227640b00f106304,Acton-OR Tablet SR,Apex Laboratories Pvt Ltd,118,2026-11-05 12:47:52.825000+00:00,96,Beyond 90 Days
6a6c993a227640b00f1065e2,Adgril Tablet,Aretaeus Pharmaceuticals,12,2026-11-05 20:01:29.295000+00:00,96,Beyond 90 Days
6a6c993a227640b00f10645a,Angizaar 25 Tablet,Micro Labs Ltd,114,2026-11-06 22:59:58.311000+00:00,97,Beyond 90 Days
6a6c993a227640b00f1065dc,Alcid 20mg Capsule,Algen Healthcare Limited,78,2026-11-06 07:35:05.865000+00:00,97,Beyond 90 Days
6a6c993a227640b00f1065d1,Acep 500mg Tablet,Apple Biotech,119,2026-11-06 16:03:07.939000+00:00,97,Beyond 90 Days
6a6c993a227640b00f106400,Angizaar 50 Tablet,Micro Labs Ltd,45,2026-11-08 00:57:25.197000+00:00,98,Beyond 90 Days
6a6c993a227640b00f1064f1,Alpan 40mg Tablet,Altak Pharmaceuticals Pvt Ltd,0,2026-11-07 23:42:36.247000+00:00,98,Beyond 90 Days
6a6c993b227640b00f1066c8,Canazole Cream,Lupin Ltd,96,2026-11-08 16:17:23.856000+00:00,99,Beyond 90 Days
6a6c993a227640b00f1063f5,Azulix 0.5 MF Tablet PR,Torrent Pharmaceuticals Ltd,39,2026-11-09 13:42:02.434000+00:00,100,Beyond 90 Days
6a6c993a227640b00f106499,Aldol Tablet,Altar Healthcare Pvt Ltd,29,2026-11-09 15:06:26.685000+00:00,100,Beyond 90 Days
6a6c993a227640b00f1065bd,Angiset 4mg Tablet MD,Angiolife Healthcare Pvt Ltd,6,2026-11-09 15:12:38.787000+00:00,100,Beyond 90 Days
6a6c993b227640b00f106746,Zynwin Tablet,Macleods Pharmaceuticals Pvt Ltd,76,2026-11-10 14:17:09.082000+00:00,101,Beyond 90 Days
6a6c993a227640b00f106408,Amlosafe TM 80 Tablet,Aristo Pharmaceuticals Pvt Ltd,10,2026-11-10 20:50:20.794000+00:00,101,Beyond 90 Days
6a6c993a227640b00f1063a9,Asthalin AX JR Expectorant,Cipla Ltd,58,2026-11-10 15:23:06.999000+00:00,101,Beyond 90 Days
6a6c993a227640b00f10653d,Angilo 50 Tablet,Nitro Organics,9,2026-11-11 21:35:29.636000+00:00,102,Beyond 90 Days
6a6c993a227640b00f1066a5,B Sim 2% Ointment,Starzol Pharma,49,2026-11-11 09:16:14.068000+00:00,102,Beyond 90 Days
6a6c993a227640b00f1062e4,Azee 200mg Dry Syrup,Cipla Ltd,24,2026-11-11 19:58:31.867000+00:00,102,Beyond 90 Days
6a6c993a227640b00f106580,Acitec 20mg Capsule,Symbiosis Pharmaceuticals Pvt Ltd,34,2026-11-11 10:40:02.790000+00:00,102,Beyond 90 Days
