medicineId,name,manufacturer,brand,category,stock,price,isDiscontinued,requiresPrescription,expiryDate
6a651337e75d7a30ba685994,A Doxid 100mg Capsule,Eskon Pharma,,Antibiotic,88,26.3,False,True,2027-12-04 06:16:39.522
6a651337e75d7a30ba6859dd,A Doxid L 100mg Capsule,Eskon Pharma,,Antibiotic,22,60.0,False,True,2028-03-07 07:58:30.147
6a651337e75d7a30ba685b25,A Fresh Mouth Wash,Arika Healthcare,,Skin Care,20,42.0,False,False,2028-01-30 04:09:54.714
6a651337e75d7a30ba6859cd,A Mol 650mg Tablet,Aan Pharma Pvt Ltd,,Pain Relief,23,9.0,False,False,2027-12-23 22:25:17.721
6a651337e75d7a30ba685ac4,A Nil Tablet,Pan Pharmaceuticals Ltd,,Antibiotic,26,6.72,False,True,2027-05-01 13:37:30.066
6a651337e75d7a30ba685b60,A Tron 4mg Tablet MD,American Biocare,,Gastro & Digestion,69,49.0,False,True,2027-01-25 11:44:44.240
6a651337e75d7a30ba685ba5,A-Win 5 Injection,Asterisk Laboratories India Pvt Ltd,,Vitamins & Supplements,112,250.0,False,False,2026-11-01 01:42:33.400
6a651337e75d7a30ba685a2e,AB-Rozu 10 Tablet,Abbott,,Heart & Blood Pressure,27,135.62,False,True,2027-08-06 04:15:54.989
6a651337e75d7a30ba685a3d,AB-Rozu 20 Tablet,Abbott,,Heart & Blood Pressure,44,224.87,False,True,2026-11-24 11:04:04.420
6a651337e75d7a30ba685b7b,ACHOPHEN 400MG/325MG TABLET,Jackson Laboratories Pvt Ltd,,Pain Relief,131,8.87,False,False,2027-06-27 23:07:44.061
6a651337e75d7a30ba685935,ACTION OR 1000mg Tablet,Apex Laboratories Pvt Ltd,,Pain Relief,138,42.3,False,False,2028-02-16 17:37:50.875
6a651337e75d7a30ba685afc,AD Fun 1% Cream,Aditya Pharmaceuticals,,Skin Care,140,15.0,False,False,2027-03-27 23:11:40.364
