medicineId,name,onlineUnits,onlineRevenue,offlineUnits,offlineRevenue,totalUnits,totalRevenue
6a6d96275baa8e1afb22b641,Aboros 20mg Tablet,87,23925.0,0,0.0,87,23925.0
6a6c993a227640b00f1062cd,Allegra-M Tablet,56,13522.88,0,0.0,56,13522.88
6a6d96295baa8e1afb22b850,CO Mupimet Collagen Particles,5,5360.0,0,0.0,5,5360.0
6a6d96295baa8e1afb22b88a,Eglucent Rapid 100IU/ml Kwikpen,5,5145.0,0,0.0,5,5145.0
6a6d96295baa8e1afb22b880,Eglucent Rapid 100IU/ml Solution for Injection,4,3600.0,0,0.0,4,3600.0
6a6c993a227640b00f1064c8,AB-Rozu 10 Tablet,24,3254.88,0,0.0,24,3254.88
6a6c993a227640b00f106623,Agedox 100mg Injection,6,3096.0,0,0.0,6,3096.0
6a6c993a227640b00f1065fc,Aconred 5 Injection,17,3094.0,0,0.0,17,3094.0
6a6c993a227640b00f106529,Abvida-M 50/1000 Eazy Glide Tablet SR,11,2794.44,0,0.0,11,2794.44
6a6c993a227640b00f10639e,Alkof LS Syrup,28,2772.0,0,0.0,28,2772.0
6a6c993a227640b00f10663f,A-Win 5 Injection,11,2750.0,0,0.0,11,2750.0
6a6d96295baa8e1afb22b87e,Eglucent Mix 25 100IU/ml Suspension for Injection,3,2700.0,0,0.0,3,2700.0
6a6d96275baa8e1afb22b504,Apidra Solostar 100IU/ml Injection,3,2641.08,0,0.0,3,2641.08
6a4e41d43e06d1bc60415ab1,Abetrol 20mg Tablet,45,2520.0,0,0.0,45,2520.0
6a6c993a227640b00f106432,Alsartan AM Tablet,37,2516.0,0,0.0,37,2516.0
6a6d96295baa8e1afb22b8c2,Suncros Soft 2% Cream,3,2397.0,0,0.0,3,2397.0
6a6d96275baa8e1afb22b4a8,Apidra 100IU Cartridge,3,2283.0,0,0.0,3,2283.0
6a6c993a227640b00f1064b1,Ablif LB 200mg Tablet,13,2275.0,0,0.0,13,2275.0
6a6c993a227640b00f1065c3,Absoz 40 Tablet,20,2200.0,0,0.0,20,2200.0
6a6c993a227640b00f10658a,Acevilda M 500mg/50mg Tablet,20,2160.0,0,0.0,20,2160.0
6a6c993a227640b00f106317,ATM 500 Tablet,15,1985.7,0,0.0,15,1985.7
6a6c993a227640b00f1065e4,Acaldo Capsule,10,1850.0,0,0.0,10,1850.0
6a6c993a227640b00f1064d7,AB-Rozu 20 Tablet,8,1798.96,0,0.0,8,1798.96
6a6c993a227640b00f106456,Abvida-M 50mg/1000mg Eazy Glide Tablet,7,1778.28,0,0.0,7,1778.28
6a6c993a227640b00f10663b,Agradine Scrub,5,1750.0,0,0.0,5,1750.0
6a6c993a227640b00f106427,Aciban DSR Capsule,12,1698.0,0,0.0,12,1698.0
6a6c993a227640b00f1063bf,Afoglip M  1000 Tablet ER,6,1604.1,0,0.0,6,1604.1
6a6c993a227640b00f10630e,Acuvin Tablet,7,1593.62,0,0.0,7,1593.62
6a6c993a227640b00f1063e2,Abixim O Tablet,6,1591.68,0,0.0,6,1591.68
6a6c993a227640b00f1063de,Amaryl 4mg Tablet,4,1588.0,0,0.0,4,1588.0
6a6c993a227640b00f10638c,ATM 250 Tablet,13,1540.5,0,0.0,13,1540.5
6a6d96275baa8e1afb22b535,Apidra 100IU/ml Solution for Injection,1,1534.0,0,0.0,1,1534.0
6a6c993a227640b00f10664b,Albofer 100mg Injection,6,1530.0,0,0.0,6,1530.0
6a6c993a227640b00f1063fb,Abvida-M 50/500 Eazy Glide Tablet SR,7,1524.25,0,0.0,7,1524.25
6a6c993a227640b00f106363,Adtrol XT Tablet,5,1513.5,0,0.0,5,1513.5
6a6c993a227640b00f1063f3,Abvida 100mg Tablet SR,7,1501.36,0,0.0,7,1501.36
6a6c993a227640b00f106527,Allocid 20 Tablet,12,1500.0,0,0.0,12,1500.0
6a6c993a227640b00f10660e,Aftron S 100 Injection,6,1500.0,0,0.0,6,1500.0
6a6c993a227640b00f1064bf,Abixim CV 200mg/125mg Tablet,6,1491.18,0,0.0,6,1491.18
6a6c993a227640b00f106480,Afineday Tablet,7,1491.0,0,0.0,7,1491.0
6a6c993a227640b00f1063d3,Abvida 50mg Tablet,8,1451.68,0,0.0,8,1451.68
6a6c993a227640b00f1063bc,Allercet-L Tablet,24,1416.0,0,0.0,24,1416.0
6a6c993b227640b00f10671b,Folizee 5mg Tablet,14,1372.0,0,0.0,14,1372.0
6a6d96275baa8e1afb22b65e,AB-Rozu 20 Tablet,6,1349.22,0,0.0,6,1349.22
6a6c993a227640b00f10637e,Afoglip M  500 Tablet ER,6,1304.58,0,0.0,6,1304.58
6a6c993a227640b00f1064e2,Abcef O 200mg/200mg Tablet,11,1292.39,0,0.0,11,1292.39
6a6c993a227640b00f10644e,Acbro 3D 10mg/120mg/200mg Tablet SR,10,1253.0,0,0.0,10,1253.0
