date,channel,invoiceNumber,itemCount,totalAmount,paymentMethod,status
2026-07-23 11:50:45.917,Online,INV-20260723-CE0638,3,223.32,COD,Packed
2026-07-19 16:00:54.694,POS,POS-20260719-6B4EDF,1,84.0,Cash,Completed
2026-07-19 15:49:13.337,Online,INV-20260719-9DEAFD,1,163.52,COD,Pending
2026-07-19 15:37:40.841,Online,INV-20260719-6E8573,1,106.05,COD,Confirmed
2026-07-19 15:15:57.241,Online,INV-20260719-79AA91,1,196.5,COD,Confirmed
2026-07-19 14:48:08.640,Online,INV-20260719-8D7303,1,73.5,COD,Confirmed
2026-07-19 09:32:56.410,POS,POS-20260719-DAB614,3,141.0,Cash,Completed
2026-07-19 08:35:23.683,Online,INV-20260719-45B626,1,580.0,COD,Confirmed
2026-07-18 08:57:23.321,Online,INV-20260718-87DE87,2,126.23,UPI,Out for Delivery
2026-07-08 14:10:28.297,Online,INV-20260708-8885DA,2,2602.5,COD,Confirmed
2026-07-07 04:12:14.698,Online,INV-20260707-7D53F0,2,64.13,COD,Confirmed
